serial_id,bloodbankname,state,city,address,pincode,contact,email,nodalofficer ,operationalhours,latitude,longitude,bloodtypes.A_p,bloodtypes.A_m,bloodtypes.B_p,bloodtypes.B_m,bloodtypes.AB_p,bloodtypes.AB_m,bloodtypes.O_p,bloodtypes.O_m,price
A1,G.B. Pant Hospital Blood bank,Andaman And Nicobar Islands,Port Blair,Atlanta Point\r\nNear Cellular Jail\r\nP.O. Aberdeen Bazaar\r\n,744104,9434266561,bbgbpant@gmail.com,Dr.Ganesh Samaddar,24X7,11.675442,92.747338,0,98,2,0,0,0,0,0,23
A2,I.N.H.S. Dhanvantri,Andaman And Nicobar Islands,Port Blair,"Ashvini Nagar, Port Blair, Andaman and Nicobar Islands.",744103,8001452200,,Dr.Smiriti Mathur,24X7,11.649693,92.717418,0,0,0,10,22,2,23,0,43
A3,Pillar Health Centre Blood Bank,Andaman And Nicobar Islands,Port Blair,"Lamba Line,\r\nP.B. 526,\r\nP.O. Junglighat, \r\nOpposite Airport",744104,9474247585,pillarbloodbank2016@gmail.com,Dr. Sr. Cross Mary,24X7,11.653229,92.730714,0,0,0,0,0,2,1,0,21
A4,"Indian Red Cross Society Blood Bank, District Branch",Andhra Pradesh,Anantapur,"Near JNTU Engeneering College, Sarada Nagar, Ananthapur.",515002,9441192365,NA,Dr.G. Parvathi & Dr.G. Ramanjaneyulu Naidu,24x7,14.654936,77.609915,0,0,0,0,11,10,0,0,45
A5,Government General Hospital Blood Bank,Andhra Pradesh,Ananthapur,"Government General Hospital, Ananthapur",515001,9866695858,bloodbankgghatp@gmail.com,Dr. Shiva kumar & Dr. Swapna ,24x7,14.671459,77.596684,0,0,11,0,0,0,0,2,67
A6,West Siang District Hospital Blood Bank,Arunachal Pradesh,Aalo,"District Hospital, Medical Complex, Aalo",791001,9436056268,yatugee@gmail.com,Dr. Yatu Gee Kena,24 x 7,28.169282,94.801031,0,0,0,0,0,0,0,0,34
A7,Fakhruddin Ali Ahmed (FAA) Medical College Hospital Blood Bank,Assam,Barpeta,"Ground Floor  Fakhruddin Ali Ahmed Medical College, Jotigaon, Jania Road.\r\nOpposite to Chaulkhowa River ",781301,9435042865,bloodbankfaamc5@gmail.com,Dr. Dipankar Baruah,24 x 7,26.323792,90.986661,0,0,33,0,2,1,0,0,20
A8,Bongaigaon Civil Hospital Blood Bank,Assam,Bongaigaon,"Main Road, Mayapuri,Bongaigaon",783380,9435021056,bloodbank.bongaigaon@gmail.com,Dr. Suahanta Bhattacharjee,24 x 7,26.456671,90.560234,0,0,8,11,0,13,0,0,10
A9, Sadar Hospital Siwan Blood Bank,Bihar,Siwan,"SH 45, Babhnauli, Siwan",841226,082940 84226,siwanbloodbank@gmail.com,Dr. Anil Kumar Singh ,N/A,26.226162,84.361845,23,0,0,0,11,0,10,14,50
A10,P.N.H Mahatma Budh Educational and Research Centre Blood Bank ,Bihar,Siwan,"Mahatma Budh Educational and Research Centre, situated at Popular Nursing Home, East of Gandhi Maidan",841226,9852032870,jitesh000123@gmail.com,Dr. Mukti Nath Singh ,N/A,26.226162,84.361845,0,0,0,22,0,0,0,0,60
